epoch,step,train_acc,train_auc,train_loss,val_acc,val_auc,val_loss
0,189,,,,0.5441725254058838,0.5657525658607483,0.6865435242652893
0,189,0.51932293176651,0.5182622671127319,0.6933022141456604,,,
1,379,,,,0.5644131302833557,0.5934205651283264,0.677863359451294
1,379,0.5569937825202942,0.5776427984237671,0.6830006837844849,,,
2,569,,,,0.5805060267448425,0.6134325265884399,0.6723098754882812
2,569,0.5715144872665405,0.5995047092437744,0.6762223243713379,,,
3,759,,,,0.5865616202354431,0.6179860234260559,0.667741060256958
3,759,0.5778206586837769,0.6117308139801025,0.6704296469688416,,,
4,949,,,,0.5932807922363281,0.6254825592041016,0.6650301218032837
4,949,0.5868650078773499,0.6213085055351257,0.6662040948867798,,,
5,1139,,,,0.5799253582954407,0.628588080406189,0.6707801818847656
5,1139,0.5945402383804321,0.631223201751709,0.6628308892250061,,,
6,1329,,,,0.5746992826461792,0.6347318887710571,0.6720901727676392
6,1329,0.5956189036369324,0.6333644986152649,0.659859299659729,,,
7,1519,,,,0.6001659035682678,0.6327140927314758,0.6648699045181274
7,1519,0.5925280451774597,0.630007803440094,0.6607568264007568,,,
8,1709,,,,0.6044794917106628,0.6432629823684692,0.6557602882385254
8,1709,0.6013234853744507,0.6401049494743347,0.6569808721542358,,,
9,1899,,,,0.5942762494087219,0.6453866958618164,0.661689043045044
9,1899,0.6042483448982239,0.6467437744140625,0.6534513235092163,,,
10,2089,,,,0.6020738482475281,0.6480156183242798,0.6570774912834167
10,2089,0.602775514125824,0.6463350057601929,0.6538906097412109,,,
11,2279,,,,0.6077976226806641,0.6511610150337219,0.6510398387908936
11,2279,0.6106167435646057,0.6527669429779053,0.6512329578399658,,,
12,2469,,,,0.616341769695282,0.6603183746337891,0.6472206711769104
12,2469,0.6127325892448425,0.657453179359436,0.6486824154853821,,,
13,2659,,,,0.6105350255966187,0.6588799357414246,0.6506731510162354
13,2659,0.612068772315979,0.658554196357727,0.6469634771347046,,,
14,2849,,,,0.6156781315803528,0.6598581075668335,0.6469303369522095
14,2849,0.6163834929466248,0.660140335559845,0.6456462144851685,,,
15,3039,,,,0.603898823261261,0.6627519130706787,0.6553195118904114
15,3039,0.616093099117279,0.6618784666061401,0.6447120904922485,,,
16,3229,,,,0.6135213375091553,0.6616363525390625,0.6471860408782959
16,3229,0.6143506169319153,0.6599287986755371,0.646201491355896,,,
17,3419,,,,0.6219825744628906,0.6675424575805664,0.6428572535514832
17,3419,0.6166324615478516,0.6653273701667786,0.6430026292800903,,,
18,3609,,,,0.619411051273346,0.6675035953521729,0.6410079002380371
18,3609,0.6153463125228882,0.6663345694541931,0.642612874507904,,,
19,3799,,,,0.6171712875366211,0.6681005954742432,0.6452199220657349
19,3799,0.6233949661254883,0.6727770566940308,0.6393954157829285,,,
20,3989,,,,0.6209042072296143,0.6686517000198364,0.6498569250106812
20,3989,0.6249507069587708,0.6728910803794861,0.6392751932144165,,,
21,4179,,,,0.6214019060134888,0.6730308532714844,0.6433559656143188
21,4179,0.6208019852638245,0.6717116832733154,0.6391879320144653,,,
22,4369,,,,0.6234757304191589,0.6717672348022461,0.6413776278495789
22,4369,0.6264235377311707,0.6794149875640869,0.6357594132423401,,,
23,4559,,,,0.6069680452346802,0.6703895330429077,0.6518186330795288
23,4559,0.6245773434638977,0.6786320209503174,0.6366444230079651,,,
