epoch,step,train_acc,train_auc,train_loss,val_acc,val_auc,val_loss
0,189,,,,0.5481542944908142,0.5705434679985046,0.6859226226806641
0,189,0.5212313532829285,0.5279204845428467,0.692865788936615,,,
1,379,,,,0.5636665225028992,0.6017829179763794,0.6802002191543579
1,379,0.5614745020866394,0.5853128433227539,0.6815674304962158,,,
2,569,,,,0.5764412879943848,0.6097904443740845,0.67206871509552
2,569,0.5842512249946594,0.6126499176025391,0.6727829575538635,,,
3,759,,,,0.5707175731658936,0.62395179271698,0.6714598536491394
3,759,0.5910552144050598,0.6250986456871033,0.667452871799469,,,
4,949,,,,0.5860638618469238,0.6312858462333679,0.6658366918563843
4,949,0.5957226157188416,0.634092390537262,0.6618680357933044,,,
5,1139,,,,0.6034010648727417,0.6415053009986877,0.658989667892456
5,1139,0.6038126945495605,0.6439225673675537,0.6572473049163818,,,
6,1329,,,,0.5795105695724487,0.6373493671417236,0.6683695912361145
6,1329,0.6055137515068054,0.6478247046470642,0.6549318432807922,,,
7,1519,,,,0.6063044667243958,0.6455339193344116,0.6546658277511597
7,1519,0.6092891097068787,0.6526583433151245,0.6523729562759399,,,
8,1709,,,,0.6010783910751343,0.6457488536834717,0.6565824151039124
8,1709,0.6132926940917969,0.6558106541633606,0.6495097279548645,,,
9,1899,,,,0.6087930202484131,0.6483181118965149,0.6520748138427734
9,1899,0.6128777861595154,0.6588170528411865,0.6486761569976807,,,
10,2089,,,,0.6089589595794678,0.649262011051178,0.6555259823799133
10,2089,0.6142261624336243,0.6586061716079712,0.6483288407325745,,,
11,2279,,,,0.61368727684021,0.6528215408325195,0.6530873775482178
11,2279,0.6195158362388611,0.6623471975326538,0.6458767056465149,,,
12,2469,,,,0.6085441708564758,0.6531012058258057,0.6529419422149658
12,2469,0.6183127164840698,0.6638486981391907,0.6456368565559387,,,
13,2659,,,,0.6121111512184143,0.655201256275177,0.6512832045555115
13,2659,0.6221917867660522,0.6673856377601624,0.6435462832450867,,,
14,2849,,,,0.6123600006103516,0.651106595993042,0.6504597067832947
14,2849,0.6224406957626343,0.6680811643600464,0.6421918869018555,,,
15,3039,,,,0.6097884774208069,0.6557895541191101,0.6495442986488342
15,3039,0.6194743514060974,0.6691042184829712,0.6427082419395447,,,
16,3229,,,,0.617751955986023,0.6574734449386597,0.6481300592422485
16,3229,0.6197025179862976,0.6694689393043518,0.6416903734207153,,,
17,3419,,,,0.6137702465057373,0.6560343503952026,0.6500200033187866
17,3419,0.6250959634780884,0.6752920150756836,0.6387295126914978,,,
18,3609,,,,0.6197428703308105,0.6611298322677612,0.6460191607475281
18,3609,0.6229385733604431,0.67200767993927,0.6410806179046631,,,
19,3799,,,,0.6176690459251404,0.6625634431838989,0.6458451747894287
19,3799,0.6281452775001526,0.6769603490829468,0.6373748183250427,,,
20,3989,,,,0.6110327839851379,0.6628471612930298,0.6489930152893066
20,3989,0.6300744414329529,0.6790720224380493,0.6355500221252441,,,
21,4179,,,,0.6264620423316956,0.6648198366165161,0.6439682245254517
21,4179,0.6311531662940979,0.6823433041572571,0.6333722472190857,,,
22,4369,,,,0.6197428703308105,0.6634774208068848,0.645005464553833
22,4369,0.6278756260871887,0.6783170104026794,0.6356273293495178,,,
23,4559,,,,0.600829541683197,0.660301923751831,0.6534860134124756
23,4559,0.6289750337600708,0.6828469038009644,0.6337314248085022,,,
24,4749,,,,0.6153463125228882,0.6681169271469116,0.6506925225257874
24,4749,0.6290994882583618,0.6818702220916748,0.6338626742362976,,,
25,4939,,,,0.610203206539154,0.6661443710327148,0.6493597626686096
25,4939,0.6361939311027527,0.6883724927902222,0.6299608945846558,,,
