epoch,step,train_acc,train_auc,train_loss,val_acc,val_auc,val_loss
0,189,,,,0.5631688237190247,0.5857001543045044,0.6822013854980469
0,189,0.5346733927726746,0.5433023571968079,0.6899361610412598,,,
1,379,,,,0.5694732666015625,0.6124846935272217,0.6736326217651367
1,379,0.5739622712135315,0.5995038747787476,0.676322340965271,,,
2,569,,,,0.5979261994361877,0.6353442668914795,0.6631537079811096
2,569,0.5893749594688416,0.6214370131492615,0.667921781539917,,,
3,759,,,,0.5766072273254395,0.637972354888916,0.663683295249939
3,759,0.6009915471076965,0.6377785801887512,0.660305917263031,,,
4,949,,,,0.6058896780014038,0.6486152410507202,0.6507695317268372
4,949,0.6088742017745972,0.6471285820007324,0.6544262766838074,,,
5,1139,,,,0.6117793321609497,0.652833104133606,0.649104118347168
5,1139,0.611218273639679,0.6556302309036255,0.6507459282875061,,,
6,1329,,,,0.6034010648727417,0.6529118418693542,0.6587828397750854
6,1329,0.6160516142845154,0.6601921319961548,0.6476535797119141,,,
7,1519,,,,0.6138531565666199,0.6574777364730835,0.648172914981842
7,1519,0.6173792481422424,0.6616699695587158,0.647006630897522,,,
8,1709,,,,0.61368727684021,0.6566303968429565,0.647417426109314
8,1709,0.6202833652496338,0.6660277843475342,0.643540620803833,,,
